,Name,Country,Roaster,Roast,Origin,Price,UserRating
2120,,,,,"['Buhinyuza District', 'Muhinga Province']",,
2121,,,,,,,
2122,,,,,,,
2123,,,,,,,
2124,,,,,"['Pichincha Growing Region', 'Northern Ecuador']",,
2125,,,,,,,
2126,,,,,,,
2127,,,,,"['Al-durrar', 'Sana’a Governorate']",,
2128,,,,,,,
2129,,,,,,,
2130,,,,,"['Central Kenya', 'Lintong Growing Region']",,
2131,,,,,"['Cundinamarca Department', 'Colombia']",,
2132,,,,,,,
2133,,,,,"['Valle Del Cauca Growing Region', 'Colombia']",,
2134,,,,,"['Gedeb District', 'Yirgacheffe Growing Region']",,
2135,,,,,,,
2136,,,,,"['Flores Island', 'Indonesia']",,
2137,,,,,,,
2138,,,,,,,
2139,,,,,,,
2140,,,,,"['Toraja Growing Region', 'South-central Sulawesi']",,
2141,,,,,"['Northern Burundi', 'Toraja Growing Region']",,
2142,,,,,"['Ethiopia', 'Indonesia']",,
2143,,,,,"['Mantiqueira De Minas Growing Region', 'Southern Minas Gerais State']",,
2144,,,,,"['Matas De Minas Growing Region', 'Eastern Minas Gerais State']",,
2145,,,,,"['Chapada Diamantina Growing Region', 'Bahia State']",,
2146,,,,,"['Rwanda', 'Chapada Diamantina Growing Region']",,
2147,,,,,,,
2148,,,,,"['Kayanza', 'Kabuye']",,
2149,,,,,"['Peru', 'Kayanza']",,
2150,,,,,,,
2151,,,,,"['Ethopia', 'Rwanda']",,
2152,,,,,"['Yemen', 'Ethopia']",,
2153,,,,,,,
2154,,,,,,,
2155,,,,,,,
2156,,,,,"['Monteverde', 'Costa Rica']",,
2157,,,,,,,
2158,,,,,,,
2159,,,,,,,
2160,,,,,,,
2161,,,,,,,
2162,,,,,"['Kalehe', 'South Kivu Province']",,
2163,,,,,"['Gitega Province', 'Burundi']",,
2164,,,,,"['Brazil', 'Guatemala']",,
2165,,,,,"['Ethiopia', 'Sumatra']",,
2166,,,,,"['Chalatenango Growing Region', 'Northwest El Salvador']",,
2167,,,,,,,
2168,,,,,"['Ethiopia', 'Brazil']",,
2169,,,,,,,
2170,,,,,,,
2171,,,,,,,
2172,,,,,"['Burundi', 'Narino Department']",,
2173,,,,,"['Nariño Department', 'Southern Colombia']",,
2174,,,,,,,
2175,,,,,"['Carmo De Minas Growing Region', 'Northeastern Minas Gerais State']",,
2176,,,,,"['Southern Minas Gerais State', 'Southeastern Brazil']",,
2177,,,,,,,
2178,,,,,"['Sul De Minas Growing Region', 'Minas Gerais State']",,
2179,,,,,,,
2180,,,,,,,
2181,,,,,"['Minas Gerais State', 'Southeastern Brazil']",,
2182,,,,,"['Ethiopia Natural Yirgacheffe Adado Shara', 'Not Disclosed']",,
2183,,,,,"['Colombia', 'Guatemala']",,
2184,,,,,"['Embu County', 'Eastern Province Kenya']",,
2185,,,,,,,
2186,,,,,,,
2187,,,,,"['Ethiopia', 'Central And South America']",,
2188,,,,,"['Kayanza Province', 'Burundi']",,
2189,,,,,,,
2190,,,,,"['Buhinyuza District', 'Muyinga Province']",,
2191,,,,,"['Nyamasheke', 'Rwanda']",,
2192,,,,,"['Gakenke District', 'Northern Province']",,
2193,,,,,"['Kapchorwa District', 'Eastern Region']",,
2194,,,,,,,
2195,,,,,,,
2196,,,,,,,
2197,,,,,,,
2198,,,,,"['Tarime District', 'Mara Region']",,
2199,,,,,,,
2200,,,,,,,
2201,,,,,,,
2202,,,,,"['Ethiopia', 'Colombia']",,
2203,,,,,"['Zambia', 'Ethiopia']",,
2204,,,,,,,
2205,,,,,,,
2206,,,,,,,
2207,,,,,,,
2208,,,,,"['Brazil', 'Peru']",,
2209,,,,,"['Guatemala', 'Not Disclosed']",,
2210,,,,,"['São Sebastião Da Grama', 'São Paulo State']",,
2211,,,,,,,
2212,,,,,"['Sabanilla De Alajuela Growing Region', 'Costa Rica']",,
2213,,,,,"['Ethiopia', 'Sabanilla De Alajuela Growing Region']",,
2214,,,,,"['Shakiso District', 'Guji Zone']",,
2215,,,,,,,
2216,,,,,,,
2217,,,,,"['Central Yemen', 'Yirgacheffe Growing Region']",,
2218,,,,,,,
2219,,,,,"['Guatemala', 'Ethiopia']",,
2220,,,,,"['West Guji Zone', 'Oromia Region']",,
2221,,,,,"['Huehuetenango Department', 'Guatemala']",,
2222,,,,,"['Nariño Department', 'Southwestern Colombianar']",,
2223,,,,,"['Cajamarca Region', 'Northern Peru']",,
2224,,,,,,,
2225,,,,,"[""Murang'a County"", 'Central Kenya']",,
2226,,,,,,,
2227,,,,,,,
2228,,,,,"['Palencia', 'Fraijanes Plateau Growing Region']",,
2229,,,,,,,
2230,,,,,"['Huehuetenango Growing Region', 'Guatemala']",,
2231,,,,,,,
2232,,,,,,,
2233,,,,,"['Antoquia', 'Colombia']",,
2234,,,,,,,
2235,,,,,,,
2236,,,,,"['Bita Genet District', 'Keffa Zone']",,
2237,,,,,,,
2238,,,,,,,
2239,,,,,"['San Agustín Growing Region', 'Huila Department']",,
2240,,,,,,,
2241,,,,,"['Nariño Department', 'Colombia']",,
2242,,,,,,,
2243,,,,,,,
2244,,,,,,,
2245,,,,,,,
2246,,,,,,,
2247,,,,,,,
2248,,,,,"['Acatenango Growing Region', 'Central Guatemala']",,
2249,,,,,,,
2250,,,,,"['Bahia', 'Brazil']",,
2251,,,,,"['South-central Kenya', 'Sidama (also Sidamo) Growing Region']",,
2252,,,,,"['Limu Woreda', 'Oromia Region']",,
2253,,,,,,,
2254,,,,,,,
2255,,,,,,,
2256,,,,,"['Huehuetenango', 'Guatemala']",,
2257,,,,,,,
2258,,,,,,,
2259,,,,,"['South-central Kenya', 'Hambela Wamena District']",,
2260,,,,,"['Metapan', 'El Salvador']",,
2261,,,,,,,
2262,,,,,,,
2263,,,,,,,
2264,,,,,,,
2265,,,,,,,
2266,,,,,"['Planadas', 'Tolima Department']",,
2267,,,,,,,
2268,,,,,,,
2269,,,,,"['Horqueta', 'Chiriquí']",,
2270,,,,,,,
2271,,,,,,,
2272,,,,,"['South-central Kenya', 'Kirinyaga District']",,
2273,,,,,,,
2274,,,,,,,
2275,,,,,"['South-central Kenya', 'Kiambu County']",,
2276,,,,,"['Bench-maji Zone', 'Southern Ethiopia']",,
2277,,,,,"['South-central Kenya', 'Bench-maji Zone']",,
2278,,,,,"['South-central Kenya', 'South-central Kenya']",,
2279,,,,,,,
2280,,,,,,,
2281,,,,,,,
2282,,,,,,,
2283,,,,,,,
2284,,,,,,,
2285,,,,,,,
2286,,,,,"['Guatemala', 'Indonesia']",,
2287,,,,,"['Oromia Region', 'Southwest Ethiopia']",,
2288,,,,,"['Thika Growing Region', 'Central Kenya']",,
2289,,,,,"['Gedeo Zone', 'Kochere']",,
2290,,,,,"['Brazil', 'Ethiopia']",,
2291,,,,,,,
2292,,,,,,,
2293,,,,,,,
2294,,,,,,,
2295,,,,,,,
2296,,,,,"['El Boquerón Growing Region', 'El Salvador']",,
2297,,,,,"['Central Yemen', 'El Boquerón Growing Region']",,
2298,,,,,,,
2299,,,,,"['Lake Amatitlán Area', 'South-central Guatemala']",,
2300,,,,,,,
2301,,,,,,,
2302,,,,,"['Ethiopia', 'Papua New Guinea']",,
2303,,,,,"['Buhoma', 'Southwest Uganda']",,
2304,,,,,"['Llano Bonito', 'Naranjo']",,
2305,,,,,,,
2306,,,,,"['Antioquia', 'Colombia']",,
2307,,,,,,,
2308,,,,,"['Embu County', 'Eastern Province']",,
2309,,,,,"['Yirgacheffe', 'Sidamo']",,
2310,,,,,,,
2311,,,,,"['South-central Kenya', 'Embu County']",,
2312,,,,,,,
2313,,,,,,,
2314,,,,,,,
2315,,,,,"['Africa', 'Indonesia']",,
2316,,,,,,,
2317,,,,,,,
2318,,,,,"['Acatenango Growing Region', 'Guatemala']",,
2319,,,,,,,
2320,,,,,,,
2321,,,,,"['Antigua Growing Region', 'Guatemala']",,
2322,,,,,"['La Providencia', 'Jalapa']",,
2323,,,,,"['Acatenango', 'Guatemala']",,
2324,,,,,"['El Salvador', 'Acatenango']",,
2325,,,,,"['Matagalpa Growing Region', 'Nicaragua']",,
2326,,,,,"['Apaneca', 'Ahuachapán Department']",,
2327,,,,,,,
2328,,,,,,,
2329,,,,,"['Ethiopia', 'Rwanda']",,
2330,,,,,,,
2331,,,,,"['Alto Quiel', 'Boquete Growing Region']",,
2332,,,,,"['Jaramillo', 'Boquete Growing Region']",,
2333,,,,,,,
2334,,,,,"['Ethiopia', 'Guatemala']",,
2335,,,,,,,
2336,,,,,,,
2337,,,,,,,
2338,,,,,,,
2339,,,,,"['Santander', 'Colombia']",,
2340,,,,,"['South-central Kenya', 'Santander']",,
2341,,,,,"['Santa Ana Region', 'El Salvador']",,
2342,,,,,"['Jimma Zone', 'Oromia State']",,
2343,,,,,"['Poás Volcano Region', 'Central Costa Rica']",,
2344,,,,,,,
2345,,,,,"['Jutiapa Department', 'Guatemala']",,
2346,,,,,"['Alaka District', 'Guji Zone']",,
2347,,,,,,,
2348,,,,,,,
2349,,,,,"['São Sebastião De Grama', 'Brazil']",,
2350,,,,,,,
2351,,,,,,,
2352,,,,,,,
2353,,,,,,,
2354,,,,,"['Aceh Growing Region', 'Aceh Province']",,
2355,,,,,,,
2356,,,,,,,
2357,,,,,,,
2358,,,,,,,
2359,,,,,"['Yirgacheffe Growing Region', 'Ethiopia']",,
2360,,,,,,,
2361,,,,,"['Chalatenango', 'El Salvador']",,
2362,,,,,,,
2363,,,,,,,
2364,,,,,,,
2365,,,,,,,
2366,,,,,,,
2367,,,,,,,
2368,,,,,,,
2369,,,,,"['Planadas', 'Southern Tolima Growing Region']",,
2370,,,,,,,
2371,,,,,"['Northern Thailand', 'West Guji Zone']",,
2372,,,,,,,
2373,,,,,,,
2374,,,,,,,
2375,,,,,"['Santa Bárbara', 'Honduras']",,
2376,,,,,,,
2377,,,,,,,
2378,,,,,,,
2379,,,,,"['Tolima Department', 'Colombia']",,
2380,,,,,,,
2381,,,,,,,
2382,,,,,,,
2383,,,,,,,
2384,,,,,,,
2385,,,,,,,
2386,,,,,"['South America', 'Lintong Growing Region']",,
2387,,,,,"['Caldas Department', 'Colombia']",,
2388,,,,,"['South America', 'Caldas Department']",,
2389,,,,,,,
2390,,,,,"['Rustiro District', 'Western Province']",,
2391,,,,,,,
2392,,,,,,,
2393,,,,,,,
2394,,,,,,,
2395,,,,,,,
2396,,,,,"['South-central Kenya', 'Santa Maria']",,
2397,,,,,,,
2398,,,,,"['Arusha Region', 'Northern Tanzania']",,
2399,,,,,"['Chinchipe', 'Zamora Province']",,
2400,,,,,"['Pichincha Province', 'North-central Ecuador']",,
2401,,,,,,,
2402,,,,,"['Pasco Growing Region', 'Oxapampa']",,
2403,,,,,"['Satipo Province', 'Junin Region']",,
2404,,,,,"['Jaén Province', 'Cajamarca Region']",,
2405,,,,,"['Caranavi Province', 'La Paz Department']",,
2406,,,,,,,
2407,,,,,,,
2408,,,,,,,
2409,,,,,"['Rulindo', 'Rwanda']",,
2410,,,,,"['Region Concepción Huista', 'Huehuetenango Growing Region']",,
2411,,,,,,,
2412,,,,,,,
2413,,,,,,,
2414,,,,,,,
2415,,,,,,,
2416,,,,,,,
2417,,,,,,,
2418,,,,,,,
2419,,,,,,,
2420,,,,,,,
2421,,,,,"['Mara Growing Region', 'Tarime']",,
2422,,,,,,,
2423,,,,,"['Bench Maji Zone', 'Southwestern Ethiopia']",,
2424,,,,,,,
2425,,,,,"['Kirinyaga County', 'South-central Kenya']",,
2426,,,,,"['Colombia', 'Rwanda']",,
2427,,,,,"['Palestina Region', 'Huila Department']",,
2428,,,,,"['Campos Alto District', 'Minas Gerais State']",,
2429,,,,,,,
2430,,,,,"['Harar (also Harrar) Growing Region Of Eastern Ethiopia', 'Rulindo']",,
2431,,,,,"['Kona Growing District', 'Big Island Of Hawaii']",,
2432,,,,,"['San Ignacio Province', 'Cajamarca Region']",,
2433,,,,,"['Loja Province', 'Southern Ecuador']",,
2434,,,,,"['Utcubamba Province', 'Amazonas Region']",,
2435,,,,,"['Muranga District', 'Central Province']",,
2436,,,,,"['Sabah State', 'Malaysia']",,
2437,,,,,"['Salgar Municipality', 'Antioquia Department']",,
2438,,,,,"['South Kivu Province', 'Democratic Republic Of The Congo']",,
2439,,,,,"['Guatemala', 'Brazil']",,
2440,,,,,,,
2441,,,,,"['Nyamasheke District', 'Rwanda']",,
2442,,,,,,,
2443,,,,,,,
2444,,,,,,,
2445,,,,,,,
2446,,,,,,,
2447,,,,,,,
2448,,,,,,,
2449,,,,,,,
2450,,,,,,,
2451,,,,,"['Simalungun Regency', 'North Sumatra Province']",,
2452,,,,,,,
2453,,,,,,,
2454,,,,,,,
2455,,,,,"[""Ka'u Growing Region"", ""Big Island Of Hawai'i""]",,
2456,,,,,,,
2457,,,,,"['Puna District', ""Big Island Of Hawai'i""]",,
2458,,,,,"['Kona District', 'Kealakekua Growing Region']",,
2459,,,,,,,
2460,,,,,,,
2461,,,,,"['Kula', 'Island Of Maui']",,
2462,,,,,,,
2463,,,,,,,
2464,,,,,"['Kealakekua', 'Kona Growing District']",,
2465,,,,,,,
2466,,,,,,,
2467,,,,,,,
2468,,,,,"['Bani Matar Growing Region', 'Yemen']",,
2469,,,,,,,
2470,,,,,"['Brazil', 'Ecuador']",,
2471,,,,,"['Burundi', 'Colombia']",,
2472,,,,,,,
2473,,,,,,,
2474,,,,,"['Zambia', 'Sidamo (also Sidama) Growing Region']",,
2475,,,,,,,
2476,,,,,"['San Augustin', 'Huila']",,
2477,,,,,,,
2478,,,,,"['Caldas Growing Region', 'Colombia']",,
2479,,,,,"['Kiambu Growing Region', 'South-central Kenya']",,
2480,,,,,"['Kona Growing District', ""Big Island Of Hawai'i""]",,
2481,,,,,,,
2482,,,,,,,
2483,,,,,"['Cundinamarca Department', 'Central Colombia']",,
2484,,,,,,,
2485,,,,,,,
2486,,,,,,,
2487,,,,,,,
2488,,,,,"['Kenya', 'Tolima Department']",,
2489,,,,,,,
2490,,,,,,,
2491,,,,,"['Ethiopia', 'Panama']",,
2492,,,,,"['Ethiopia', 'Panana']",,
2493,,,,,"['Hambela District', 'Oromia Growing Region']",,
2494,,,,,"['Ibicoara Municipality', 'Chapada Diamantina Region']",,
2495,,,,,"['Coto Brus', 'Puntarenas']",,
2496,,,,,"['Central Kenya', 'Coto Brus']",,
2497,,,,,,,
2498,,,,,,,
2499,,,,,,,
2500,,,,,"['Bururi Growing Region', 'Burundi']",,
2501,,,,,,,
2502,,,,,,,
2503,,,,,"['Congo', 'Ethiopia']",,
2504,,,,,"['Colombia', 'Congo']",,
2505,,,,,,,
2506,,,,,,,
2507,,,,,"['Northern Province', 'Zambia']",,
2508,,,,,,,
2509,,,,,"['Kalaheo', 'Kauai']",,
2510,,,,,,,
2511,,,,,"['Africa', 'Asia']",,
2512,,,,,,,
2513,,,,,"['Oaxaca State', 'Mexico']",,
2514,,,,,"['Sandy Bay Valley', 'Saint Helena Island']",,
2515,,,,,"['Belis', 'Atok']",,
2516,,,,,,,
2517,,,,,,,
2518,,,,,"['Kochere Woreda', 'Gedeo Zone']",,
2519,,,,,,,
2520,,,,,,,
2521,,,,,"['Zambia', 'Colombia']",,
2522,,,,,"['Eastern Highlands', 'Papua New Guinea']",,
2523,,,,,,,
2524,,,,,"['Asia', 'Africa']",,
2525,,,,,,,
2526,,,,,,,
2527,,,,,,,
2528,,,,,"['Tecapa Chinameca Growing Region', 'Santiago De María']",,
2529,,,,,"['Tecapa Chinameca Growing Region', 'Southeastern El Salvador']",,
2530,,,,,"['La Palma', 'Chalatenango Department']",,
2531,,,,,"['Santa Ana Department', 'Northwestern El Salvador']",,
2532,,,,,"['Chalatenango Department', 'Northwestern El Salvador']",,
2533,,,,,,,
2534,,,,,,,
2535,,,,,,,
2536,,,,,,,
2537,,,,,,,
2538,,,,,,,
2539,,,,,,,
2540,,,,,,,
2541,,,,,,,
2542,,,,,"['Chiriqui Growing Region', 'Panama']",,
2543,,,,,,,
2544,,,,,"['Alto Jaramillo', 'Boquete Growing Region']",,
2545,,,,,"['Neira', 'Caldas Department']",,
2546,,,,,,,
2547,,,,,,,
2548,,,,,,,
2549,,,,,"['Central America', 'Sidamo (also Sidama) Growing Region']",,
2550,,,,,,,
2551,,,,,,,
2552,,,,,,,
2553,,,,,,,
2554,,,,,,,
2555,,,,,,,
2556,,,,,,,
2557,,,,,"['Costa Rica', ""Murang'a County""]",,
2558,,,,,,,
2559,,,,,"['San Cristobal', 'Cobán']",,
2560,,,,,"['Cusco Department', 'La Convención Province']",,
2561,,,,,,,
2562,,,,,,,
2563,,,,,,,
2564,,,,,,,
2565,,,,,"['La Libertad', 'Huehuetenango']",,
2566,,,,,,,
2567,,,,,"['Kochere Woreda', 'Yirgacheffe Growing Region']",,
2568,,,,,,,
2569,,,,,,,
2570,,,,,,,
2571,,,,,"['Valle De Cauca', 'Colombia']",,
2572,,,,,,,
2573,,,,,,,
2574,,,,,,,
2575,,,,,"['La Mesa', 'Cundinamarca']",,
2576,,,,,"['Tarrazu', 'Costa Rica']",,
2577,,,,,"['Sidamo (also Sidama)', 'Ethiopia']",,
2578,,,,,,,
2579,,,,,"['Cauca', 'Colombia']",,
2580,,,,,"['Yirgacheffe', 'Southern Ethiopia']",,
2581,,,,,,,
2582,,,,,,,
2583,,,,,"['Brunca', 'Costa Rica']",,
2584,,,,,,,
2585,,,,,"['Thika Plateau', 'Central Highlands']",,
2586,,,,,,,
2587,,,,,"['Muranga County', 'South-central Kenya']",,
2588,,,,,"['Jamaica', 'Muranga County']",,
2589,,,,,"['Guatemala', 'Jamaica']",,
2590,,,,,"['Huila Department', 'Colombia']",,
2591,,,,,,,
2592,,,,,,,
2593,,,,,,,
2594,,,,,,,
2595,,,,,"['Alto Quiel', 'Panama']",,
2596,,,,,"['Jimma Growing Region', 'Southern Ethiopia']",,
2597,,,,,,,
2598,,,,,,,
2599,,,,,,,
2600,,,,,,,
2601,,,,,"['Yeri Growing Region', 'South-central Kenya']",,
2602,,,,,"['Mandheling Growing Region', 'Northern Sumatra']",,
2603,,,,,,,
2604,,,,,"['South America', 'Central America']",,
2605,,,,,"['Santa Rosa Growing Region', 'Guatemala']",,
2606,,,,,"['Ethiopia', 'Santa Rosa Growing Region']",,
2607,,,,,,,
2608,,,,,"['Buyenzi', 'Katanga']",,
2609,,,,,,,
2610,,,,,"['Indonesia', 'El Salvador']",,
2611,,,,,"['Oromia', 'Southern Ethiopia']",,
2612,,,,,"['Volcan', 'Panama']",,
2613,,,,,,,
2614,,,,,,,
2615,,,,,,,
2616,,,,,,,
2617,,,,,,,
2618,,,,,"['Kibugu Village', 'Embu County']",,
2619,,,,,"['Antigua', 'Guatemala']",,
2620,,,,,,,
2621,,,,,"['Costa Rica', 'Yirgacheffe Growing Region']",,
2622,,,,,"['Indonesia', 'Ethiopia']",,
2623,,,,,"['Chimaltenango', 'Guatemala']",,
2624,,,,,,,
2625,,,,,"['Cerro El Tigre', 'El Salvador']",,
2626,,,,,"['Lintong Growing Region', 'Northern Sumatra']",,
2627,,,,,,,
2628,,,,,,,
2629,,,,,,,
2630,,,,,,,
2631,,,,,,,
2632,,,,,"['Puna', 'Big Island Of Hawai’i']",,
2633,,,,,"['Sabanilla De Alajuela', 'Costa Rica']",,
2634,,,,,"['Nensebo Woreda', 'Sidama']",,
2635,,,,,"['Dolores', 'Tolima Department']",,
2636,,,,,"['Rwanda', 'Dolores']",,
2637,,,,,"['Guatemala', 'Rwanda']",,
2638,,,,,"['Kona', 'Panama']",,
2639,,,,,"['Kenya', 'Guatemala']",,
2640,,,,,,,
2641,,,,,,,
2642,,,,,"['Peru', 'Ethiopia']",,
2643,,,,,,,
2644,,,,,,,
2645,,,,,,,
2646,,,,,"['Nicaragua', 'Ethiopia']",,
2647,,,,,"['Sumatra', 'Panama']",,
2648,,,,,,,
2649,,,,,,,
2650,,,,,"['Madagascar', 'Odo Shakiso District']",,
2651,,,,,,,
2652,,,,,,,
2653,,,,,,,
2654,,,,,,,
2655,,,,,,,
2656,,,,,,,
2657,,,,,,,
2658,,,,,,,
2659,,,,,,,
2660,,,,,,,
2661,,,,,,,
2662,,,,,"['Apaneca', 'El Salvador']",,
2663,,,,,"['Sidamo (also Sidama) Growing Region', 'Southern Ethiopia']",,
2664,,,,,"['Colombia', 'Sidamo (also Sidama) Growing Region']",,
2665,,,,,"['Kenya', 'Colombia']",,
2666,,,,,"['Sololá', 'Guatemala']",,
2667,,,,,"['Santa Elena', 'La Paz']",,
2668,,,,,,,
2669,,,,,,,
2670,,,,,"['Guatemala', 'Sidamo (also Sidama) Growing Region']",,
2671,,,,,,,
2672,,,,,"['Colombia', 'Colombia']",,
2673,,,,,"['Guatemala', 'Colombia']",,
2674,,,,,"['Sumatra', 'Indonesia']",,
2675,,,,,,,
2676,,,,,"['Boquete', 'Panama']",,
2677,,,,,"['Peru', 'Colombia']",,
2678,,,,,,,
2679,,,,,,,
2680,,,,,,,
2681,,,,,"['Apaneca-ilamatepec Mountain Range', 'El Salvador']",,
2682,,,,,,,
2683,,,,,"['Karatu', 'Tanzania']",,
2684,,,,,,,
2685,,,,,,,
2686,,,,,"['Central Kenya', 'Guji Zone']",,
2687,,,,,,,
2688,,,,,,,
2689,,,,,"['Sidama (also Sidamo) Region', 'Ethiopia']",,
2690,,,,,"['Ngiriambu District', 'Kenya']",,
2691,,,,,,,
2692,,,,,"['Gedeo Zone', 'Southern Ethiopia']",,
2693,,,,,,,
2694,,,,,"['Huila Department', 'Southwestern Colombia']",,
2695,,,,,"['Cajamarca Growing Region', 'Peru']",,
2696,,,,,,,
2697,,,,,,,
2698,,,,,"['Costa Rica', 'Nyeri Growing Region']",,
2699,,,,,,,
2700,,,,,"['Ethiopia', 'Yirgacheffe Growing Region']",,
2701,,,,,"['Iambu Growing Region', 'South-central Kenya']",,
2702,,,,,,,
2703,,,,,,,
2704,,,,,,,
2705,,,,,,,
2706,,,,,,,
2707,,,,,,,
2708,,,,,"['Quiché', 'Northern Guatemala']",,
2709,,,,,"['Kona', 'Hawaii']",,
2710,,,,,,,
2711,,,,,,,
2712,,,,,,,
2713,,,,,,,
2714,,,,,"['Kona Growing Region', 'Big Island Of Hawai’i']",,
2715,,,,,"['Junin', 'Peru']",,
2716,,,,,"['El Socorro', 'Comayagua Department']",,
2717,,,,,"['Motozintla De Mendoza', 'Chiapas State']",,
2718,,,,,"['Sidama Growing Region', 'Southern Ethiopia']",,
2719,,,,,,,
2720,,,,,,,
2721,,,,,,,
2722,,,,,"['Gakenke', 'Northern Province']",,
2723,,,,,,,
2724,,,,,,,
2725,,,,,"['Lake Kivu', 'Drc Congo']",,
2726,,,,,"['Kiambi County', 'Kenya']",,
2727,,,,,,,
2728,,,,,,,
2729,,,,,,,
2730,,,,,,,
2731,,,,,"['Sumatra', 'Huila']",,
2732,,,,,"['Musasa', 'Rwanda']",,
2733,,,,,"['Murutra', 'Kayanza Province']",,
2734,,,,,"['Ka’u Growing Region', 'Big Island Of Hawai’i']",,
2735,,,,,"['Kayanza Province', 'Northern Burundi']",,
2736,,,,,"['Namasheke District', 'Western Province']",,
2737,,,,,,,
2738,,,,,,,
2739,,,,,"['Colombia', 'Nicaragua']",,
2740,,,,,,,
2741,,,,,,,
2742,,,,,"['Colombia', 'Honduras']",,
2743,,,,,"['Al-haimah', 'Yemen']",,
2744,,,,,"['Quilanga', 'Ecuador']",,
2745,,,,,"['Vale De Grama', 'Mogiana']",,
2746,,,,,"['Gakenke', 'Rwanda']",,
2747,,,,,"['South Kivu', 'Democratic Republic Of The Congo']",,
2748,,,,,,,
2749,,,,,"['Boneza', 'Rwanda']",,
2750,,,,,,,
2751,,,,,"['Ka’u', 'Big Island Of Hawai’i']",,
2752,,,,,,,
2753,,,,,"['Brazil', 'Colombia']",,
2754,,,,,"['Pitalito', 'Huila Department']",,
2755,,,,,,,
2756,,,,,,,
2757,,,,,"['South Kona Growing Region', 'Hawai’i']",,
2758,,,,,,,
2759,,,,,"['Sumatra', 'Ethiopia']",,
2760,,,,,"['Idamo (also Sidama) Growing Region', 'Southern Ethiopia']",,
2761,,,,,,,
2762,,,,,"['Bungoma', 'Kenya']",,
2763,,,,,,,
2764,,,,,,,
2765,,,,,,,
2766,,,,,,,
2767,,,,,"['Pinchincha', 'Ecuador']",,
2768,,,,,,,
2769,,,,,,,
2770,,,,,,,
2771,,,,,,,
2772,,,,,"['Nariño', 'Colombia']",,
2773,,,,,,,
2774,,,,,"['Kenya', 'Gedeb District']",,
2775,,,,,"['Ka’u Growing Region', ""Big Island Of Hawai'i""]",,
2776,,,,,,,
2777,,,,,"['Kona Growing Region', ""Big Island Of Hawai'i""]",,
2778,,,,,"['Agaro Gera', 'Jimma Zone']",,
2779,,,,,"['Jambi Province', 'Sumatra']",,
2780,,,,,,,
2781,,,,,,,
2782,,,,,"['North Kona Growing District', '“big Island” Of Hawaii']",,
2783,,,,,"['Bali', 'Indonesia']",,
2784,,,,,"['Embu County', 'Kenya']",,
2785,,,,,,,
2786,,,,,,,
2787,,,,,"['Biollet', 'Costa Rica']",,
2788,,,,,,,
2789,,,,,,,
2790,,,,,,,
2791,,,,,"['Caranavi', 'Bolivia']",,
2792,,,,,,,
2793,,,,,"['Aceh Province', 'Sumatra']",,
2794,,,,,,,
2795,,,,,,,
2796,,,,,"['Huabal', 'Peru']",,
2797,,,,,"['Ethiopia', 'Nicaragua']",,
2798,,,,,"['El Salvador', 'Peru']",,
2799,,,,,"['El Diamante', 'Jaén']",,
2800,,,,,,,
2801,,,,,"['Kona', 'Big Island Of Hawai’i']",,
2802,,,,,,,
2803,,,,,"['Paéz', 'Cauca Department']",,
2804,,,,,"['Pantan Musara', 'Gayo']",,
2805,,,,,,,
2806,,,,,,,
2807,,,,,"['Alishan', 'Chia-yi City']",,
2808,,,,,,,
2809,,,,,"['Inza', 'Cauca Department']",,
2810,,,,,,,
2811,,,,,,,
2812,,,,,"['San Jose', 'La Paz']",,
2813,,,,,,,
2814,,,,,,,
2815,,,,,,,
2816,,,,,"['Ipanema', 'Brazil']",,
2817,,,,,"['Tobosi', 'Cartago Province']",,
2818,,,,,,,
2819,,,,,,,
2820,,,,,,,
2821,,,,,,,
2822,,,,,"['Yemen', 'North Kona Growing District']",,
2823,,,,,"['Ethiopia', 'Yemen']",,
2824,,,,,"['Yunnan Province', 'China']",,
2825,,,,,,,
2826,,,,,"['El Salvador', 'Ethiopia']",,
2827,,,,,"['Kirinyaga', 'Kenya']",,
2828,,,,,,,
2829,,,,,"['Acevedo', 'Huila Department']",,
2830,,,,,"['South Kivu Province', 'The Democratic Republic Of The Congo']",,
2831,,,,,,,
2832,,,,,,,
2833,,,,,,,
2834,,,,,,,
2835,,,,,,,
2836,,,,,"['Alishan', 'Chaiyi']",,
2837,,,,,"['Ethiopia', 'Democratic Republic Of The Congo']",,
2838,,,,,"['Central Rwanda', 'Ethiopia']",,
2839,,,,,,,
2840,,,,,"['Ahuachapan', 'El Salvador']",,
2841,,,,,,,
2842,,,,,,,
2843,,,,,,,
2844,,,,,,,
2845,,,,,"['Volcano', 'Puna District']",,
2846,,,,,"['Nueva Segovia', 'Nicaragua']",,
2847,,,,,"['Tolima', 'Colombia']",,
2848,,,,,"['Indonesia', 'Costa Rica']",,
2849,,,,,"['Isla Santa Cruz And Isla San Cristóbal', 'Galapagos Islands']",,
2850,,,,,"['Kwazulu-natal Province', 'South Africa']",,
2851,,,,,,,
2852,,,,,,,
2853,,,,,,,
2854,,,,,,,
2855,,,,,,,
2856,,,,,"['Antioquia Department', 'Northwest Colombia']",,
2857,,,,,,,
2858,,,,,,,
2859,,,,,,,
2860,,,,,,,
2861,,,,,"['Ethiopia', 'Peru']",,
